pair_idx,heuristic_id_1,heuristic_id_2,raw_app_type,task_name,d_codebleu,d_ngram,d_weighted_ngram,d_syntax,d_dataflow,cb_d_perf
6851,pop_4_op_m2_n2_251224_152807,pop_16_op_m2_n6_251224_182728,bin_greedy,BinPacking,0.7211332932100929,0.9024518374727197,0.8915152976318028,0.6,0.49056603773584906,0.023850000000000003
6852,pop_4_op_m2_n2_251224_152807,pop_4_op_m1_n13_251224_152507,bin_greedy,BinPacking,0.7202570169567093,0.9039239610974564,0.8952859249111992,0.65,0.43181818181818177,0.009859999999999997
6853,pop_4_op_m2_n2_251224_152807,pop_16_op_m1_n19_251224_182326,bin_greedy,BinPacking,0.6978876332789625,0.898419201685691,0.8903055857472703,0.5538461538461539,0.44897959183673475,1.4845499999999998
6854,pop_4_op_m2_n2_251224_152807,pop_1_op_m1_n18_251224_140446,bin_greedy,BinPacking,0.6822314759274201,0.8375332126550169,0.827454072128832,0.6521739130434783,0.4117647058823529,0.0163
6855,pop_4_op_m2_n2_251224_152807,pop_15_op_m2_n11_251224_181033,bin_greedy,BinPacking,0.7354074073264208,0.904301839510672,0.8928039802712019,0.6266666666666667,0.5178571428571428,0.023850000000000003
6856,pop_4_op_m2_n2_251224_152807,pop_17_op_e2_n15_251225_010642,bin_greedy,BinPacking,0.7344404107201069,0.9201030995626521,0.8918324793473817,0.5360824742268041,0.5897435897435898,1.4845499999999998
6857,pop_4_op_m2_n2_251224_152807,pop_2_op_e1_n15_251224_195501,bin_greedy,BinPacking,0.7153549117272127,0.8982759650986688,0.8828761232817537,0.6956521739130435,0.3846153846153846,0.43455
6858,pop_4_op_m2_n2_251224_152807,pop_6_op_m2_n9_251224_154925,bin_greedy,BinPacking,0.49749468643301475,0.5436848467966686,0.5240655481356113,0.4897959183673469,0.43243243243243246,0.0012099999999999993
6859,pop_19_op_e1_n17_251225_014412,pop_0_op_i1_n13_251224_134528,bin_greedy,BinPacking,0.6938325654120109,0.9078017348799255,0.8249359341755254,0.5925925925925926,0.44999999999999996,0.4211699999999998
6860,pop_19_op_e1_n17_251225_014412,pop_0_op_i1_n10_251224_134318,bin_greedy,BinPacking,0.6904301021431015,0.9468394858634385,0.8195105523385973,0.625,0.37037037037037035,0.4211699999999998
6861,pop_19_op_e1_n17_251225_014412,pop_13_op_m2_n3_251224_234834,bin_greedy,BinPacking,0.49746597339653964,0.6234666000687419,0.5817000898804294,0.47126436781609193,0.31343283582089554,1.08109
6862,pop_19_op_e1_n17_251225_014412,pop_18_op_m1_n15_251225_074403,bin_greedy,BinPacking,0.6691136750464891,0.8758459431667424,0.8506087570192139,0.55,0.4,1.0868300000000002
6863,pop_19_op_e1_n17_251225_014412,pop_15_op_m2_n0_251224_181033,bin_greedy,BinPacking,0.7008750506556245,0.9225133494062262,0.8881297103591289,0.6,0.3928571428571429,1.0872300000000001
6864,pop_19_op_e1_n17_251225_014412,pop_3_op_m2_n9_251224_202201,bin_greedy,BinPacking,0.7273135546094298,0.9391710984496017,0.8589720088770065,0.6111111111111112,0.5,0.8798600000000001
6865,pop_19_op_e1_n17_251225_014412,pop_1_op_e2_n3_251225_022841,bin_greedy,BinPacking,0.7135584198912153,0.8933071419782384,0.8887743260719208,0.5633802816901409,0.5087719298245614,1.0516100000000002
6866,pop_19_op_e1_n17_251225_014412,pop_12_op_m1_n8_251224_232125,bin_greedy,BinPacking,0.5389515488813855,0.6497359094718931,0.5769485603217538,0.4545454545454546,0.47457627118644063,1.0870300000000002
6867,pop_19_op_e1_n17_251225_014412,pop_10_op_m2_n14_251224_164454,bin_greedy,BinPacking,0.6998010038333411,0.9206726215221902,0.885674250954031,0.6,0.3928571428571429,1.0872300000000001
6868,pop_19_op_e1_n17_251225_014412,pop_16_op_m2_n11_251225_071226,bin_greedy,BinPacking,0.7166923881663498,0.888184088197095,0.883347369230209,0.5238095238095238,0.5714285714285714,1.05433
